Tahun;GDP at constant prices (level);GDP deflator (level);GDP at current prices (level);Potential GDP at current prices (level);Balance on current account;Nominal exchange rate (national currency per US dollar) -- average;Nominal exchange rate (national currency per US dollar) -- end of period;Real exchange rate index (national currency per U.S. Dollar);Public sector revenues and grants;Public sector non-interest revenues and grants;Public sector interest revenues;Public sector expenditures;Public sector non-interest expenditures;Public sector interest expenditures (historical only);Public sector interest expenditures denominated in local currency (historical only);Public sector interest expenditures denominated in foreign currency (historical only);Public sector principal payments (historical only);Public sector debt service (sum of interest and amortization payments historical only);Cyclically-adjusted primary balance;Recognition of implicit contingent liability;Change in domestic arrears;Change in external arrears;Debt relief;Please specify (1) (e.g.. privatization receipts) (+ reduces financing needs);Please specify (2) (e.g.. other debt flows) (+ increases financing needs);Highly-liquid assets available to repay debt;External debt; short-term. on original maturity basis. private and public;Amortization of MLT external debt. private and public
2009;6452610;93;6011375;5967094.17;;10356;9400;0.885566667;924686.40;921588;3099;1023520.33;900698;122822;98257.95;24564.488;147387;270209; 23620 ;0;;;;0;0;313750;;;
2010;6864133;100;6864133;6803700.74;;9078;8991;1;1073832.30;1069339;4493;1159098.28;1020006;139092;111273.43;27818.359;166910;306002;-4573 ;0;;;;0;0;332090;;;
2011;7287635;107;7831726;7657289.89;;8773;9068;0.99975;1332189.42;1325856;6334;1387241.12;1220772;166469;133175.15;33293.787;199763;366232; 972 ;0;;;;0;0;418830;;;
2012;7727083;112;8615705;8358613.62;;9418;9670;0.96255;1486152.64;1478622;7531;1622837.25;1428097;194740;155792.38;38948.094;233689;428429; 153549 ;0;;;;0;0;377689;;;
2013;8156498;117;9546134;9394434.91;;10562;12189;0.930833333;1609899.88;1601824;8076;1821515.84;1602934;218582;174865.52;43716.380;262298;480880; 128549 ;0;;;;0;0;405352;;;
2014;8564867;123;10569705;10974922.77;;11884;12440;0.871116667;1739834.56;1731920;7914;1966625.29;1730630;235995;188796.03;47199.007;283194;519189; 46239 ;0;;;;0;0;454942;;;
2015;8982517;128;11526333;11753807.82;;13457;13795;0.885183333;1714502.34;1708240;6263;2014591.08;1772840;241751;193400.74;48350.186;290101;531852; 77061 ;0;;;;0;0;572840;;;
2016;9434613;131;12401729;12629732.13;;13329;13436;0.925041667;1778097.89;1770562;7536;2086438.83;1836066;250373;200298.13;50074.532;300447;550820; 175590 ;0;;;;0;0;558596;;;
2017;9912928;137;13589826;14067491.72;;13398;13548;0.940075;1909821.24;1901897;7924;2250798.24;1980702;270096;216076.63;54019.158;324115;594211; 484158 ;0;0;0;0;0;0;558596;;;
2018;10425852;142;14838756;15584558.68;;14267;14481;0.881175;2208120.49;2199252;8869;2467820.49;2171682;296138;236910.77;59227.692;355366;651505; 522741 ;0;0;0;0;0;0;558596;;;
2019;10949038;145;15832535;16491945.35;-23.13482443;14130;13901;0.921166667;2240879.19;2232083;8796;2593822.99;2282564;311259;249007.01;62251.752;373511;684769; 577424 ;0;0;0;0;0;0;558596;56;23;
2020;10722443;144;15434152;15938904.98;-25.44984326;14625;14105;0.906066667;1908408.87;1901664;6745;2813922.47;2476252;337671;270136.56;67534.139;405205;742876; 581299 ;0;0;0;0;0;0;558596;56;20;
2021;11183695;147;16427918;16774461.40;;14378;14491;0.8897875;2037957.96;2030966;6992;;2585008;;;;;; 626386 ;0;0;0;0;0;0;558596;;;
2022;11832954;151;17922833;18116419.66;;14300;14231;0.921345;2309863.01;2302173;7690;;2709405;;;;;; 649486 ;0;0;0;0;0;0;558596;;;
2023;12505104;156;19517735;19588441.50;;14500;14568;0.896458;2616226.37;2607759;8467;;2824016;;;;;; 675063 ;0;0;0;0;0;0;558596;;;
2024;13177064.16;160.593;21161502.40; 21607899 ;;15990.44762;16024.0381;0.888919276;2902162.95;2892205.857;9922.930583;;2942627;;;;;; 772483 ;0;0;0;0;0;0;558596;;;
2025;13863799.01;165.244;22909129.75; 23156575 ;;16603.96698;16438.61968;0.87459572;3186233.82;3175626.768;10571.74087;;3071878;;;;;; 847515 ;0;0;0;0;0;0;558596;;;
2026;14586975.55;170.035;24802920.33; 24892773 ;;17013.19301;16708.27908;0.874884061;3186233.82;3175922.057;10278.3905;;3212457;;;;;; 916595 ;0;0;0;0;0;0;558596;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
