Debt Maturity Type;Bond Type;Debt Currency Type;Debt Series;Concat;Year;Debt Issuance;Interest Payment Type;Grace Period;Maturity;Rate;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2021;33146.8;Annual;10;10;3;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2022;31489.5;Annual;10;10;4;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2023;29832.2;Annual;10;10;4;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2024;28174.8;Annual;10;10;5;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2025;26517.5;Annual;10;10;6;
Long-term;Domestic Debt;foreign;10-year-bond;Long-termDomestic Debtforeign10-year-bond;2026;24860.1;Annual;10;10;6;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2021;132587.4;Annual;10;10;3;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2022;125958.0;Annual;10;10;4;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2023;119328.7;Annual;10;10;4;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2024;112699.3;Annual;10;10;5;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2025;106069.9;Annual;10;10;6;
Long-term;Foreign Debt;foreign;10-year-bond;Long-termForeign Debtforeign10-year-bond;2026;99440.5;Annual;10;10;6;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2021;61.9;Annual;20;20;2;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2022;58.8;Annual;20;20;2;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2023;55.7;Annual;20;20;2;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2024;52.6;Annual;20;20;3;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2025;49.5;Annual;20;20;3;
Long-term;Domestic Debt;foreign;20-year-bond;Long-termDomestic Debtforeign20-year-bond;2026;46.4;Annual;20;20;3;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2021;247.7;Annual;20;20;2;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2022;235.3;Annual;20;20;2;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2023;222.9;Annual;20;20;2;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2024;210.5;Annual;20;20;3;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2025;198.1;Annual;20;20;3;
Long-term;Foreign Debt;foreign;20-year-bond;Long-termForeign Debtforeign20-year-bond;2026;185.7;Annual;20;20;3;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2021;1170.3;Annual;2;2;2;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2022;1111.8;Annual;2;2;2;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2023;1053.3;Annual;2;2;2;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2024;994.8;Annual;2;2;2;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2025;936.3;Annual;2;2;3;
Long-term;Domestic Debt;foreign;2-year-bond;Long-termDomestic Debtforeign2-year-bond;2026;877.8;Annual;2;2;3;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2021;4681.4;Annual;2;2;2;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2022;4447.3;Annual;2;2;2;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2023;4213.2;Annual;2;2;2;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2024;3979.2;Annual;2;2;2;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2025;3745.1;Annual;2;2;3;
Long-term;Foreign Debt;foreign;2-year-bond;Long-termForeign Debtforeign2-year-bond;2026;3511.0;Annual;2;2;3;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2021;20241.0;Annual;30;30;5;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2022;19229.0;Annual;30;30;6;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2023;18216.9;Annual;30;30;7;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2024;17204.9;Annual;30;30;8;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2025;16192.8;Annual;30;30;9;
Long-term;Domestic Debt;foreign;30-year-bond;Long-termDomestic Debtforeign30-year-bond;2026;15180.8;Annual;30;30;10;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2021;80964.2;Annual;30;30;5;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2022;76916.0;Annual;30;30;6;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2023;72867.8;Annual;30;30;7;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2024;68819.6;Annual;30;30;8;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2025;64771.4;Annual;30;30;9;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2026;60723.1;Annual;30;30;10;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2021;1385.3;Annual;50;50;4;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2022;1316.1;Annual;50;50;5;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2023;1246.8;Annual;50;50;5;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2024;1177.5;Annual;50;50;6;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2025;1108.3;Annual;50;50;7;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2026;1039.0;Annual;50;50;8;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2021;5541.3;Annual;50;50;4;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2022;5264.2;Annual;50;50;5;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2023;4987.1;Annual;50;50;5;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2024;4710.1;Annual;50;50;6;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2025;4433.0;Annual;50;50;7;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2026;4156.0;Annual;50;50;8;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2021;12426.5;Annual;5;5;2;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2022;11805.2;Annual;5;5;2;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2023;11183.9;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2024;10562.6;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2025;9941.2;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2026;9319.9;Annual;5;5;4;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2021;49706.2;Annual;5;5;2;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2022;47220.9;Annual;5;5;2;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2023;44735.6;Annual;5;5;3;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2024;42250.2;Annual;5;5;3;
