country;year;dcapb_3yr;3y change
111;1990;0.041801;0.125403
111;1991;0.0948311;0.2844933
111;1992;-0.3935448;-1.1806344
111;1993;0.0024393;0.0073179
111;1994;0.1540952;0.4622856
111;1995;0.8118719;2.4356157
111;1996;0.842701;2.528103
111;1997;0.8129866;2.4389598
111;1998;0.7585297;2.2755891
111;1999;0.3771673;1.1315019
111;2005;-0.1000827;-0.3002481
111;2006;0.6500376;1.9501128
111;2007;0.4487642;1.3462926
111;2008;-0.9767115;-2.9301345
111;2009;-2.518763;-7.556289
111;2010;-2.114903;-6.344709
112;2010;-1.479236;-4.437708
122;1994;-0.176299;-0.528897
122;1995;-0.8263382;-2.4790146
122;1996;0.1929755;0.5789265
122;1997;1.074799;3.224397
122;1998;0.9154928;2.7464784
122;1999;0.1243289;0.3729867
122;2000;-0.5531978;-1.6595934
122;2001;0.6192112;1.8576336
122;2002;0.6032853;1.8098559
122;2003;0.4696678;1.4090034
122;2004;-1.419043;-4.257129
122;2005;-0.3430735;-1.0292205
122;2006;-0.4892776;-1.4678328
122;2007;0.5160972;1.5482916
122;2008;-0.4929278;-1.4787834
122;2009;-0.2915559;-0.8746677
122;2010;-0.4471541;-1.3414623
124;1990;0.2376146;0.7128438
124;1991;0.1470883;0.4412649
124;1992;-0.2631984;-0.7895952
124;1993;0.1248309;0.3744927
124;1994;0.5480468;1.6441404
124;1995;0.8861012;2.6583036
124;1996;0.3794065;1.1382195
124;1997;0.4116705;1.2350115
124;1998;0.7313383;2.1940149
124;1999;0.334009;1.002027
124;2000;0.1405543;0.4216629
124;2001;0.1119272;0.3357816
124;2002;0.0942949;0.2828847
124;2003;0.2591713;0.7775139
124;2004;-0.5078551;-1.5235653
124;2005;-1.154242;-3.462726
124;2006;-0.5236867;-1.5710601
124;2007;-0.5176721;-1.5530163
124;2008;0.0329916;0.0989748
124;2009;-1.740896;-5.222688
124;2010;-1.295089;-3.885267
128;1991;-1.349095;-4.047285
128;1992;-1.125581;-3.376743
128;1993;-0.2688753;-0.8066259
128;1994;-0.3751504;-1.1254512
128;1995;-0.3465308;-1.0395924
128;1996;-0.4012663;-1.2037989
128;1997;0.2627457;0.7882371
128;1998;0.3347377;1.0042131
128;1999;0.4208772;1.2626316
132;2004;-0.6093792;-1.8281376
132;2005;-0.0280846;-0.0842538
132;2006;0.2234815;0.6704445
132;2007;-0.0664628;-0.1993884
132;2008;-0.2044898;-0.6134694
132;2009;-1.281318;-3.843954
132;2010;-0.914035;-2.742105
134;1999;0.4555722;1.3667166
134;2000;0.9870303;2.9610909
134;2001;-0.4848541;-1.4545623
134;2002;-0.665894;-1.997682
134;2003;-1.171659;-3.514977
134;2004;0.3460419;1.0381257
134;2005;0.6436145;1.9308435
134;2006;0.7187112;2.1561336
134;2007;0.9566585;2.8699755
134;2008;0.5527843;1.6583529
134;2009;0.0476056;0.1428168
134;2010;-1.375717;-4.127151
136;1990;0.3850057;1.1550171
136;1991;0.8193259;2.4579777
136;1992;1.574046;4.722138
136;1993;1.868068;5.604204
136;1994;1.206507;3.619521
136;1995;0.9090983;2.7272949
136;1996;0.528616;1.585848
136;1997;1.363611;4.090833
136;1998;0.4971606;1.4914818
136;1999;0.1246144;0.3738432
136;2000;-0.5355002;-1.6065006
136;2001;-0.9360709;-2.8082127
136;2002;-0.8474465;-2.5423395
136;2003;-0.9906128;-2.9718384
136;2004;-0.3343802;-1.0031406
136;2005;-0.56811;-1.70433
136;2006;-0.2747841;-0.8243523
136;2007;0.4158843;1.2476529
136;2008;0.5598183;1.6794549
136;2009;-0.043192;-0.129576
136;2010;-0.8173658;-2.4520974
138;1990;-0.6064455;-1.8193365
138;1991;0.1748418;0.5245254
138;1992;0.5424634;1.6273902
138;1993;1.49872;4.49616
138;1994;0.0662151;0.1986453
138;1995;-1.56998;-4.70994
138;1996;0.0499214;0.1497642
138;1997;0.3688711;1.1066133
138;1998;2.136081;6.408243
138;1999;-0.1374597;-0.4123791
138;2000;0.059442;0.178326
138;2010;-1.275371;-3.826113
144;1994;-0.0354136;-0.1062408
144;1995;0.3438757;1.0316271
144;1996;1.762495;5.287485
144;1997;1.778543;5.335629
144;1998;2.066369;6.199107
144;1999;0.299675;0.899025
144;2000;0.2269462;0.6808386
146;1998;-0.0912766;-0.2738298
146;1999;0.348534;1.045602
146;2000;0.6952095;2.0856285
146;2001;0.5048054;1.5144162
146;2002;-0.2050173;-0.6150519
146;2003;-0.1083177;-0.3249531
146;2004;-0.1609022;-0.4827066
146;2005;0.3339072;1.0017216
146;2006;0.6168727;1.8506181
146;2007;0.7320613;2.1961839
156;1990;0.1757551;0.5272653
156;1991;-0.1763486;-0.5290458
156;1992;-0.3518534;-1.0555602
156;1993;-0.2829703;-0.8489109
156;1994;0.3830644;1.1491932
156;1995;1.145983;3.437949
156;1996;1.902409;5.707227
156;1997;2.172101;6.516303
156;1998;1.344499;4.033497
156;1999;0.4980288;1.4940864
156;2000;-0.1245461;-0.3736383
156;2001;-0.70613;-2.11839
156;2002;-1.252344;-3.757032
156;2003;-1.292696;-3.878088
156;2004;-0.4493313;-1.3479939
156;2005;0.0717023;0.2151069
156;2006;-0.0359963;-0.1079889
156;2007;-0.2996764;-0.8990292
156;2008;-0.8261238;-2.4783714
156;2009;-1.595079;-4.785237
156;2010;-1.869222;-5.607666
158;1990;-0.0302622;-0.0907866
158;1991;-0.1374743;-0.4124229
158;1992;-0.3856217;-1.1568651
158;1993;-1.239427;-3.718281
158;1994;-1.433054;-4.299162
158;1995;-1.519989;-4.559967
158;1996;-0.927255;-2.781765
158;1997;-0.2592167;-0.7776501
158;1998;-1.989307;-5.967921
158;1999;-0.3793447;-1.1380341
158;2000;-1.000709;-3.002127
158;2001;1.513054;4.539162
158;2002;-0.4094841;-1.2284523
158;2003;-0.184864;-0.554592
158;2004;-0.3385738;-1.0157214
158;2005;-0.0918903;-0.2756709
158;2006;1.564457;4.693371
158;2007;0.8311012;2.4933036
158;2008;1.462949;4.388847
158;2009;-1.593249;-4.779747
158;2010;-0.8963646;-2.6890938
174;1990;-1.263051;-3.789153
174;1991;0.5528539;1.6585617
174;1992;1.675288;5.025864
174;1993;1.760944;5.282832
174;1994;2.280967;6.842901
174;1995;1.364031;4.092093
