country;year;capb_3yr
111;1990;0.5611081
111;1991;0.6559391
111;1992;0.2623943
111;1993;0.2648336
111;1994;0.4189287
111;1995;1.230801
111;1996;2.073502
111;1997;2.886488
111;1998;3.645018
111;1999;4.022185
111;2005;-1.924102
111;2006;-1.274065
111;2007;-0.8253003
111;2008;-1.802012
111;2009;-4.320775
111;2010;-6.435678
112;2010;-6.333493
122;1994;-0.0316622
122;1995;-0.8580005
122;1996;-0.6650249
122;1997;0.4097744
122;1998;1.325267
122;1999;1.449596
122;2000;0.8963983
122;2001;1.51561
122;2002;2.118895
122;2003;2.588563
122;2004;1.16952
122;2005;0.8264465
122;2006;0.3371688
122;2007;0.8532659
122;2008;0.3603381
122;2009;0.0687822
122;2010;-0.3783719
124;1990;2.971132
124;1991;3.11822
124;1992;2.855022
124;1993;2.979853
124;1994;3.5279
124;1995;4.414001
124;1996;4.793407
124;1997;5.205078
124;1998;5.936416
124;1999;6.270425
124;2000;6.410979
124;2001;6.522906
124;2002;6.617201
124;2003;6.876373
124;2004;6.368517
124;2005;5.214276
124;2006;4.690589
124;2007;4.172917
124;2008;4.205909
124;2009;2.465013
124;2010;1.169923
128;1991;5.971534
128;1992;4.845953
128;1993;4.577078
128;1994;4.201928
128;1995;3.855397
128;1996;3.45413
128;1997;3.716876
128;1998;4.051614
128;1999;4.472491
132;2004;-0.9029632
132;2005;-0.9310478
132;2006;-0.7075663
132;2007;-0.774029
132;2008;-0.9785188
132;2009;-2.259837
132;2010;-3.173872
134;1999;1.372356
134;2000;2.359387
134;2001;1.874533
134;2002;1.208639
134;2003;0.0369794
134;2004;0.3830213
134;2005;1.026636
134;2006;1.745347
134;2007;2.702006
134;2008;3.25479
134;2009;3.302395
134;2010;1.926678
136;1990;-2.886788
136;1991;-2.067462
136;1992;-0.4934159
136;1993;1.374652
136;1994;2.581159
136;1995;3.490258
136;1996;4.018874
136;1997;5.382485
136;1998;5.879645
136;1999;6.00426
136;2000;5.46876
136;2001;4.532689
136;2002;3.685242
136;2003;2.694629
136;2004;2.360249
136;2005;1.792139
136;2006;1.517355
136;2007;1.933239
136;2008;2.493058
136;2009;2.449866
136;2010;1.6325
138;1990;0.7355577
138;1991;0.9103994
138;1992;1.452863
138;1993;2.951583
138;1994;3.017798
138;1995;1.447818
138;1996;1.49774
138;1997;1.866611
138;1998;4.002691
138;1999;3.865232
138;2000;3.924674
138;2010;-1.595655
144;1994;-1.369646
144;1995;-1.02577
144;1996;0.7367253
144;1997;2.515268
144;1998;4.581637
144;1999;4.881312
144;2000;5.108258
146;1998;0.2436536
146;1999;0.5921876
146;2000;1.287397
146;2001;1.792202
146;2002;1.587185
146;2003;1.478868
146;2004;1.317965
146;2005;1.651873
146;2006;2.268745
146;2007;3.000807
156;1990;2.47941
156;1991;2.303061
156;1992;1.951208
156;1993;1.668237
156;1994;2.051302
156;1995;3.197284
156;1996;5.099694
156;1997;7.271794
156;1998;8.616293
156;1999;9.114322
156;2000;8.989776
156;2001;8.283646
156;2002;7.031301
156;2003;5.738605
156;2004;5.289274
156;2005;5.360976
156;2006;5.32498
156;2007;5.025303
156;2008;4.19918
156;2009;2.6041
156;2010;0.7348787
158;1990;4.435831
158;1991;4.298357
158;1992;3.912735
158;1993;2.673307
158;1994;1.240254
158;1995;-0.2797351
158;1996;-1.20699
158;1997;-1.466207
158;1998;-3.455514
158;1999;-3.834859
158;2000;-4.835567
158;2001;-3.322513
158;2002;-3.731997
158;2003;-3.916861
158;2004;-4.255435
158;2005;-4.347325
158;2006;-2.782868
158;2007;-1.951767
158;2008;-0.4888186
158;2009;-2.082068
158;2010;-2.978433
174;1990;-5.123305
174;1991;-4.570451
174;1992;-2.895164
174;1993;-1.134219
174;1994;1.146747
174;1995;2.510778
174;1996;4.164498
174;1997;3.987721
174;1998;4.776574
174;1999;4.979102
174;2000;5.10219
174;2001;4.328734
174;2002;3.14441
174;2003;1.513144
174;2004;-0.3040478
174;2005;-1.143421
174;2006;-1.639958
174;2007;-1.94432
174;2008;-3.957123
174;2009;-7.248017
174;2010;-7.884798
176;2009;1.702201
176;2010;0.9560212
178;1990;4.009295
178;1991;4.200822
178;1992;4.289795
178;1993;5.196714
178;1994;5.968905
178;1995;6.15941
178;1996;6.350255
178;1997;6.241624
178;1998;6.694474
182;2006;-1.010644
182;2007;-0.9751818
182;2008;-0.2678137
182;2009;-2.145745
182;2010;-4.368521
184;1996;-0.1984661
184;1997;0.5930569
184;1998;1.682748
184;1999;2.320773
184;2000;2.543418
186;2002;10.30627
186;2003;8.436489
186;2004;7.481704
196;1992;2.450796
196;1993;3.024315
213;1990;0.9785662
213;1991;2.065263
213;2002;0.960295
213;2003;2.678293
213;2004;5.221268
213;2005;6.066304
213;2006;5.992002
213;2007;4.684571
213;2008;3.811341
213;2009;2.496173
218;1990;-1.820207
218;1991;-1.69213
218;1992;-1.651728
218;1993;-2.275997
218;1994;-1.913565
218;1995;-1.100936
218;1996;0.1788973
218;1997;-0.2097513
218;1998;-1.861393
218;1999;-2.746167
218;2000;-2.694591
218;2001;-2.617143
218;2002;-3.732207
218;2003;-4.578581
218;2004;-3.859695
218;2005;-1.949856
218;2006;1.51056
223;2001;3.489443
223;2002;3.53598
223;2003;3.915504
223;2004;4.032978
223;2005;4.243526
223;2006;3.996546
223;2007;3.654405
223;2008;3.314215
223;2009;3.047318
223;2010;2.697947
238;1990;1.563562
238;1991;1.451557
238;1992;2.284614
238;1993;2.605464
243;1990;2.207052
243;1991;3.3226
268;1990;0.2560653
268;1991;3.037585
268;1992;4.684894
268;1993;6.561127
268;1994;5.535827
268;1995;4.261347
268;1996;2.570379
268;1997;1.789089
268;1998;2.119336
268;1999;2.454114
268;2000;2.839049
268;2001;0.3919961
268;2002;-1.439395
268;2003;-3.666922
268;2004;-2.523794
268;2005;-1.025484
273;1990;7.988595
278;1991;-8.842519
278;1992;-6.284632
278;1993;-1.527071
278;1994;-1.121221
278;1995;-0.2960118
278;1996;-0.2465178
278;1997;1.035903
278;1998;1.144791
278;1999;0.5428422
278;2000;-1.848226
278;2001;-3.764188
278;2002;-4.351419
278;2003;-4.114449
278;2005;2.493423
278;2006;3.139025
278;2007;3.346548
278;2008;3.111152
278;2009;2.541115
278;2010;2.134619
283;1990;1.999685
283;1991;3.388203
283;1992;3.366831
283;1993;-1.408306
283;1994;2.791536
283;1995;6.145463
283;1996;9.975852
283;1997;6.19839
283;1998;3.275031
283;1999;2.316103
283;2000;2.246663
283;2001;3.026935
283;2002;3.67657
283;2003;3.513473
283;2004;3.294982
283;2005;3.921022
283;2006;5.519311
298;1990;-0.559398
298;2002;-0.1248672
298;2003;2.071606
298;2004;3.996602
298;2005;5.306711
298;2006;5.274922
298;2007;4.569391
298;2008;2.726831
298;2009;1.43566
298;2010;0.5773258
299;1990;2.628847
299;1991;5.08093
299;1992;2.850293
299;1993;0.3891813
299;1994;-2.510988
299;1995;-2.130113
299;1996;1.327311
436;1990;2.151826
436;1991;3.20223
436;1992;3.817953
436;1993;3.999546
436;1994;1.569898
436;1995;0.7908402
436;1996;-0.8795651
436;1997;-1.392932
436;1998;-1.278037
436;1999;0.2831771
436;2000;2.641395
436;2001;4.000579
436;2002;4.035927
436;2003;3.448755
436;2004;3.909889
436;2005;5.192169
436;2006;6.396756
436;2007;6.579679
436;2008;4.871716
436;2009;2.504512
436;2010;0.5562294
534;1994;-3.388587
534;1995;-2.949645
534;1996;-2.471481
