Tahun;Local;Foreign
2009;16.11102888;92.20997438
2010;16.61032993;88.74510385
2011;15.81531486;88.32225333
2012;17.72106927;85.99059974
2013;16.5451885;89.17586025
2014;15.22923994;91.11691095
2015;18.55496693;84.72176919
2016;18.1031987;87.98189575
2017;15.43388272;100.9859252
2018;16.40713264;102.8809985
2019;18.44287342;102.35842
2020;17.72545647;109.252172
2021;18.50549793;113.2811975
2022;18.80556634;113.7796743
2023;18.2468251;113.0148449
2024;18.47388825;110.2086651
2025;16.17686422;109.3825594
2026;17.33422052;105.0168192
