Year;GDP at current prices;Short Term Old Debt;Short Term New Debt;Long Term Old Debt;Long Term New Debt;Local Currency Old Debt;Local Currency New Debt;Foreign Currency Old Debt;Foreign Currency New Debt
2010;1301.87;263.51;0.00;1108.08;0.00;1371.60;0.00;0.00;0.00
2011;1341.85;231.69;0.00;1165.68;0.00;1397.37;0.00;0.00;0.00
2012;1397.73;247.17;0.00;1202.44;0.00;1449.61;0.00;0.00;0.00
2013;1436.38;266.99;0.00;1251.57;0.00;1518.56;0.00;0.00;0.00
2014;1493.03;279.32;0.00;1308.46;0.00;1587.78;0.00;0.00;0.00
2015;1554.20;270.90;0.00;1334.23;0.00;1605.13;0.00;0.00;0.00
2016;1575.14;294.62;0.00;1376.37;0.00;1670.99;0.00;0.00;0.00
2017;1519.70;295.71;0.00;1473.52;0.00;1769.23;0.00;0.00;0.00
2018;1551.89;286.69;0.00;1564.53;0.00;1851.22;0.00;0.00;0.00
2019;1578.50;284.06;0.00;1622.79;0.00;1906.85;0.00;0.00;0.00
2020;1565.92;311.79;0.00;1676.57;0.00;1988.36;0.00;0.00;0.00
2021;1559.88;0.00;151.05;1677.49;227.17;1677.49;378.22;0.00;0.00
2022;1591.99;0.00;151.04;1501.04;458.67;1501.04;609.71;0.00;0.00
2023;1629.78;0.00;151.09;1321.32;666.87;1321.32;817.97;0.00;0.00
2024;1675.74;0.00;151.52;1202.07;802.80;1202.07;954.32;0.00;0.00
2025;1723.85;0.00;151.22;1066.93;946.30;1066.93;1097.52;0.00;0.00
2026;1770.18;0;151.01;1002.00;1012.82;1002.00;1163.83;0.00;0.00
