Draw;g;r;pb;z
1;0.8;2.8;1.3;-0.4
2;0.0;2.3;3.7;-4.9
3;-1.0;3.5;1.3;21.9
4;1.8;3.0;1.0;-3.2
5;0.4;2.8;2.0;11.2
6;-2.1;2.4;0.1;-2.3
7;0.0;3.2;-0.9;18.5
8;0.8;3.2;1.0;12.2
9;-4.0;2.2;1.4;-2.0
10;-3.7;2.0;-1.6;-9.5
11;-0.4;2.0;2.9;-14.3
12;2.6;2.3;2.0;-6.4
13;-0.2;2.0;0.9;-1.6
14;0.3;2.0;2.4;-11.4
15;1.5;2.2;1.9;-2.5
16;-4.0;3.0;0.8;9.7
17;0.8;3.1;0.0;19.7
18;3.8;2.4;2.2;-26.0
19;0.0;1.8;0.9;-6.0
20;2.6;2.7;0.6;3.6
21;0.7;2.5;0.6;-3.5
22;3.7;3.3;1.2;6.9
23;1.9;3.0;2.4;15.1
24;-1.3;2.6;1.1;-2.2
25;3.8;2.3;0.9;-17.8
26;2.7;2.7;1.8;-2.8
27;1.1;2.1;1.4;-10.6
28;-0.1;2.0;3.0;-16.7
29;1.5;2.5;1.6;-1.6
30;-0.9;2.5;-0.2;4.3
31;1.1;3.0;0.4;0.4
32;-0.3;2.6;2.9;-11.9
33;3.2;2.6;1.2;-13.2
34;-1.3;2.1;0.7;-14.5
35;2.0;2.6;1.7;-5.7
36;4.7;2.8;2.0;-15.9
37;1.2;3.3;0.9;10.0
38;1.8;2.5;2.8;-4.3
39;-0.6;2.1;2.9;-4.1
40;1.0;3.0;0.2;-2.6
41;3.0;2.4;2.2;-9.8
42;1.4;2.6;1.8;-12.5
43;1.0;2.5;0.0;-2.6
44;1.0;2.7;0.9;-4.9
45;1.1;3.0;-0.2;10.3
46;0.6;3.1;-0.3;1.1
47;-1.9;3.3;-0.5;16.3
48;1.8;3.2;-0.4;-2.4
49;2.8;2.1;1.7;-21.1
50;-2.9;2.9;0.4;5.9
51;-0.7;1.8;2.5;-11.7
52;-1.5;1.7;0.7;-16.8
53;3.7;2.8;0.6;8.4
54;2.4;3.0;1.3;1.5
55;0.3;2.9;0.1;4.4
56;1.0;1.9;-0.4;-14.5
57;-1.9;2.2;-0.3;-5.4
58;-4.0;1.8;0.2;-0.3
59;0.8;2.6;2.2;-1.8
60;-4.3;2.9;-0.7;12.7
61;-0.2;2.8;3.3;-0.3
62;-1.6;1.9;1.5;-4.1
63;2.5;2.9;-0.9;8.0
64;-1.0;2.4;0.0;-9.3
65;1.5;3.0;1.6;0.0
66;1.7;2.1;1.2;-16.7
67;-3.3;2.3;0.9;-0.5
68;3.6;2.2;1.0;-18.8
69;1.3;2.7;1.1;1.1
70;0.5;2.2;1.7;-6.0
71;-0.3;2.0;1.6;-14.3
72;-0.1;2.8;0.2;11.9
73;2.4;3.5;3.1;14.8
74;3.2;3.3;-0.6;1.1
75;6.1;3.4;1.3;6.1
76;0.7;2.2;1.1;-7.5
77;-2.1;2.8;1.0;5.1
78;-2.0;2.8;-1.0;5.1
79;0.3;2.4;1.9;-0.8
80;-2.0;2.7;1.4;-3.2
81;1.2;3.0;0.1;5.0
82;-1.5;2.8;0.7;7.8
83;1.2;2.2;2.4;-21.2
84;1.3;2.6;0.0;-19.3
85;-5.1;1.9;-0.6;-1.2
86;-3.6;2.2;-0.1;-4.6
87;2.7;2.8;1.8;-17.3
88;-7.5;2.3;-0.5;4.8
89;0.4;2.6;1.9;-3.1
90;-3.1;1.5;1.6;-14.7
91;2.4;2.6;3.3;-5.1
92;-2.4;2.2;1.2;8.0
93;1.7;2.6;0.4;2.5
94;-1.0;2.2;1.3;-4.7
95;-0.8;2.5;2.0;-11.7
96;0.5;2.3;2.5;-14.2
97;-2.3;1.9;2.6;-18.5
98;-3.4;3.2;-1.3;24.8
99;0.0;1.6;-0.9;-6.2
100;0.1;2.5;0.9;-5.5
101;-0.3;2.9;0.9;-6.0
102;-1.1;2.3;3.9;-9.2
103;0.9;2.5;0.8;7.0
104;-1.5;3.1;1.2;15.8
105;-1.9;1.6;0.8;-23.8
106;-0.2;2.7;3.2;-5.5
107;2.9;3.2;1.2;10.1
108;-0.4;3.7;0.1;29.5
109;0.0;1.9;0.9;-3.7
110;0.6;1.3;1.8;-20.6
111;-0.6;2.7;0.4;0.8
112;2.7;2.5;2.9;-9.8
113;1.7;3.1;3.2;10.2
114;-0.6;2.7;0.6;8.0
115;1.5;2.1;3.5;-15.3
116;-2.6;2.1;1.3;-12.1
117;4.5;2.9;2.3;-13.9
118;-1.7;2.2;0.6;4.9
119;3.8;3.0;2.7;-11.7
120;-1.8;2.6;0.2;8.1
121;1.6;2.3;2.2;-7.1
122;-0.7;2.4;0.3;-5.0
123;-2.4;2.7;0.4;10.4
124;4.0;2.8;2.9;-2.2
125;3.4;2.6;2.6;-1.4
126;-0.4;1.5;0.4;-27.7
127;1.7;3.3;2.0;-4.6
128;2.5;2.7;1.9;0.0
129;0.3;2.7;0.4;7.0
130;-2.4;2.9;1.8;5.3
131;0.7;2.0;0.6;-8.1
132;0.5;2.0;1.9;-11.4
133;1.7;2.0;0.8;-18.1
134;0.8;3.4;-1.1;-0.8
135;2.7;2.6;1.8;-1.5
136;2.0;2.6;1.1;-0.2
137;-1.7;2.4;0.5;-3.3
138;3.1;2.9;1.7;5.1
139;0.7;2.3;2.4;-13.9
140;0.3;3.1;-0.2;10.1
141;2.6;2.7;-0.4;-6.6
142;-0.2;2.9;3.0;12.5
143;-1.8;2.6;0.7;2.8
144;-0.9;2.4;1.8;-7.6
145;0.0;2.5;1.3;1.5
146;1.0;2.2;1.5;-8.3
147;-3.7;1.9;0.3;-10.1
148;0.2;2.6;3.5;-3.7
149;2.8;2.6;1.2;-9.9
150;1.8;2.3;1.4;-12.2
151;2.0;2.0;1.1;-14.7
152;-1.5;2.3;2.2;-5.4
153;4.1;2.4;2.7;-17.1
154;-1.7;2.4;2.0;4.6
155;-1.4;2.1;1.8;5.3
156;1.3;2.5;1.4;-14.6
157;2.8;2.7;1.4;-14.2
158;-0.6;2.2;0.6;-3.6
159;-1.5;1.8;1.1;-11.7
160;-0.8;2.4;2.6;-4.1
161;-3.0;3.1;1.4;14.5
162;1.5;2.1;1.4;-15.7
163;-2.8;1.2;2.9;-17.6
164;0.6;2.0;2.6;-15.8
165;0.8;2.4;2.7;-8.7
166;-3.2;3.1;0.5;0.7
167;-1.8;1.4;3.6;-25.7
168;0.8;3.4;2.3;19.5
169;2.2;2.5;1.8;-9.8
170;2.5;2.7;0.5;-7.4
171;0.3;3.1;2.2;1.6
172;-1.3;1.8;2.2;-5.8
173;2.8;2.9;1.0;8.2
174;7.6;2.7;3.0;-14.1
175;-2.0;2.8;0.4;8.3
176;-0.2;2.3;2.7;-16.6
177;1.1;2.8;0.9;-7.1
178;0.2;1.5;1.8;-19.7
179;-1.2;3.4;0.1;18.3
180;1.0;2.2;2.3;-9.4
181;-0.2;2.1;0.2;-5.1
182;-1.5;2.1;1.8;-4.9
183;1.8;2.2;2.4;-6.5
184;-0.5;2.5;2.5;13.1
185;-2.1;2.3;0.5;8.7
186;-0.9;2.6;0.5;7.8
187;-0.3;2.6;0.4;-3.2
188;-1.7;2.2;1.1;-5.7
189;-0.7;3.5;0.5;6.2
190;3.1;2.6;0.5;-3.0
191;-0.8;2.8;1.1;1.9
192;-0.5;1.9;0.7;-14.0
193;-3.3;2.0;1.2;-9.3
194;1.2;2.1;0.5;-5.7
195;0.4;2.1;-0.5;1.9
196;-1.0;2.6;-1.1;0.2
197;-0.6;2.6;-0.1;2.9
198;4.1;2.2;1.0;-9.3
199;1.2;2.9;0.2;-6.8
200;-4.8;1.8;0.5;-18.1
201;-1.9;2.9;-0.9;-2.9
202;-2.5;2.1;0.6;-5.6
203;0.1;2.7;1.7;-7.9
204;0.7;2.0;1.2;-19.2
205;-3.5;2.3;2.1;-9.1
206;-0.6;2.7;1.7;-0.9
207;-1.5;2.6;0.9;5.2
